Date,Marketing,Stock,Foot_Traffic,Sales,Predicted_Sales
2024-01-01,5000,1200,300,15000,16332.616209054337
2024-01-02,6000,1300,400,16000,18105.47021923618
2024-01-03,1000,900,248,13000,9848.245156005223
2024-01-04,900,1200,234,15000,15278.60360603731
2024-01-05,850,1300,288,16000,16881.64929965124
2024-01-06,6000,1000,500,10000,12347.947907384141
2024-01-07,9000,1900,505,30000,29508.439874691132
2024-01-08,7000,900,245,11000,11733.365713235087
2024-01-09,100,3000,160,1000,47763.852063803555
2024-01-10,10000,1200,540,19000,17069.132233941535
